"产品图文报价单
Offer Sheet",,,,,,,,,
"报价单位：中山米盈游乐设备有限公司
Company：Zhongshan Miying Amusement Equipment Ltd.","报价人：陈女士
Offerer：Ms. Chen",,"联系电话：+86 13112959561
Phone Number：+86 13112959561","报价时间：2025.12.15
Date：2025.12.15",,,,,
,"品名：能源计划
Name: Pet Wars Climbing Car",,,"品名：未来引擎
Name: Future Engune",,,,,
,"规格型号：长16M*宽10M*高11M（含围栏）
Size: L16M*W10M(Including Fence)",,,"规格型号：长15M*宽8.5M（含围栏）
Size: L16M*W9(Including Fence)",,,,,
,"功能描述：电压：380V      功率：20KW
Function Description: Voltage: 380V  Power: 20KW",,,"功率：12KW
Power: 12KW",,,,,
,"承载车辆：15台车
Vehicle Capacity: 15 Vehicles",,,"电压：380V
Voltage: 380V",,,,,
,"承载人数：30人
Capacity: 30 Persons",,,"承载车辆：6台车
Vehicle Capacity: 6 Vehicles",,,,,
,,,,"承载人数：12人
Capacity: 12 Persons",,,,,
,,,,,,,,,
,"￥368,000 ",,,"￥168,000 ",,,,,
,"品名：蜘蛛
Name:spider ",,,"品名：机械战警
Name: RoboCop",,,,,
,"规格型号：直径15M*高4.5M（含围栏）
Size: Diameter 15M * Height 4.5M (Including Fence)",,,"规格型号：长7.84M*宽6.6M*H3.8M（含围栏）
Size: L7.84M*W6.6M*H3.8M(Including Fence)",,,,,
,"功能描述：电压：380V      功率：12KW
Function Description: Voltage:280V  Power: 45KW",,,"功率：15KW
Power: 15KW",,,,,
,承载人数：36人                            Capacity:36 Persons,,,"电压：380V
Voltage: 380V",,,,,
,,,,"承载人数：16人
Capacity: 16 Persons",,,,,
,,,,,,,,,
,,,,,,,,,
,"￥320,000 ",,,"￥320,000 ",,,,,
,"品名：外星入侵
Name: Moe Duck Land",,,"品名：核能迪斯科
Name: Nuclear Disco",,,,,
,"规格型号：直径10M*高4.5M（含围栏）
Size: Diameter 10M * Height 4.5M (Including Fence)",,,"规格型号：直径9.1M*高7.3M（含围栏）
Size: Diameter 9.1M * Height 7.3M (Including Fence)",,,,,
,"功率：8KW
Power:8KW",,,"功率：10KW
Power: 10KW",,,,,
